"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Flygaska, arsenikhaltig	'8028-73-7	'232-434-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Talliumtriarsenid	'84057-85-2	'281-902-3	Prioriterat riskminskningsämne	Mycket hög akut giftighet"	 Miljöfarligt, långtidseffekter					
"Arseniktrifluorid	'7784-35-2	'232-060-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Pyrylium, 2,6-dimethyl-4-phenyl-, hexafluoroarsenate(1-)	'84304-15-4	'282-700-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniktriklorid	'7784-34-1	'232-059-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"tris[(8.alpha.)-6'-methoxycinchonan-9(R)-ol] arsenite	'94138-87-1	'303-002-2	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Aluminum gallium arsenide	'97404-76-7	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Galliumzinktriarsenid	'98106-56-0	'308-577-3	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"trifenylsulfonium-hexafluorarsenat(1-)	'57900-42-2	'261-009-5	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"N-(p-arsenosofenyl)-1,3,5-triazin-2,4,6-triamin	'21840-08-4	'244-612-8	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Lantanarsenid	'12255-04-8	'235-502-0	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trimanganarsenid	'61219-26-9	'262-667-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Germaniumarsenid	'12271-72-6	'235-547-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Diarseniktetrasulfid	'12344-68-2	'	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Trisilverarsenid	'12417-99-1	'235-652-7	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniksulfid, naturlig	'12612-21-4	'235-720-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Arseniktrioxid	'1327-53-3	'215-481-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Arsenikpentoxid	'1303-28-2	'215-116-9	Utfasningsämne (bek.medel)	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Kvicksilvervätearsenat	'7784-37-4	'232-062-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Koppar(II)arsenat	'29871-13-4	'249-916-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Ammoniumkoppararsenat	'32680-29-8	'251-151-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Natriumarsenat	'7631-89-2	'231-547-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Arseniksyra	'7778-39-4	'231-901-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trikoppardiarsenat	'7778-41-8	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Kalciumarsenat	'7778-44-1	'231-904-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trizinkdiarsenat	'13464-44-3	'236-683-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Manganvätearsenat	'7784-38-5	'232-063-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Kaliumdivätearsenat	'7784-41-0	'232-065-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Diammoniumvätearsenat	'7784-44-3	'232-067-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Pentahydroxiarsoran	'7786-36-9	'232-096-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Vanadium(4+)diarsenat (1:1)	'99035-51-5	'308-917-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trikoboltdiarsenat	'24719-19-5	'246-429-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Dinatriumvätearsenat	'7778-43-0	'231-902-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Magnesiumarsenat	'10103-50-1	'233-285-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Triammoniumarsenat	'24719-13-9	'246-428-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Tribariumdiarsenat	'13477-04-8	'236-762-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trijärndiarsenat	'10102-50-8	'233-275-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Järnarsenat	'10102-49-5	'233-274-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Koppararsenat	'10103-61-4	'233-286-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Kalciumarsenat	'10103-62-5	'233-287-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Arsenic acid (H3AsO4), magnesium salt, manganese-doped	'102110-21-4	'310-019-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Strykninarsenat	'10476-82-1	'233-970-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Ammonium-divätearsenat	'13462-93-6	'236-667-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trinatriumarsenat	'13464-38-5	'236-682-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"tristrontiumdiarsenat	'13464-68-1	'236-684-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trinickel-bis(arsenat)	'13477-70-8	'236-771-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Pyroarseniksyra	'13453-15-1	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trilitiumarsenat	'13478-14-3	'236-773-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Trisilverarsenat	'13510-44-6	'236-841-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Arsin	'7784-42-1	'232-066-3	Prioriterat riskminskningsämne	Mycket hög akut giftighet"	 Miljöfarligt, långtidseffekter					
"koppar(I)-O,O-diisopropylditiofosfat och koppar(I)-O-isopropyl-O-(4-metylpent-2-yl)ditiofosfat och koppar(I)-O,O-bis(4-metylpent-2-yl)ditiofosfat, blandning	'	'401-520-4	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Tetranatrium-3,3'-[piperazin-1,4-diylbis[(6-klor-1,3,5-triazin-4,2-diyl)imino](2-acetamido)-4,1-fenylenazo]bisnaftalen-1,5-disulfonat	'81898-60-4	'400-010-9	Prioriterat riskminskningsämne	Allergiframkallande"						
"tetranatrium-5'-(4,6-diklor-5-cyanpyrimidin-2-ylamino)-4'-hydroxi-2,3'-azodinaftalen-1,2'5,7'-disulfonat	'	'400-130-1	Prioriterat riskminskningsämne	Allergiframkallande"						
"Litiumnatriumväte-4-amino-6-[5-(5-klor-2,6-difluorpyrimidin-4-ylamino)-2-sulfonatofenylazo]-5-hydroxi-3-[4-[2-(sulfonatooxi)etylsulfonyl)fenylazo]naftalen-2,7-disulfonat	'108624-00-6	'401-560-2	Prioriterat riskminskningsämne	Allergiframkallande"						
"Hexanatrium-7-[4-[4-[4-(2,5-disulfonatoanilino)-6-fluor-1,3,5-triazin-2-ylamino]-2-metylfenylazo]-7-sulfonatonaftylazo]naftalen-1,3,5-trisulfonat	'85665-96-9	'401-650-1	Prioriterat riskminskningsämne	Allergiframkallande"						
"Kromtrioxid	'1333-82-0	'215-607-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 Mycket hög akut giftighet	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter	
"Kaliumdikromat	'7778-50-9	'231-906-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Mycket hög akut giftighet	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter
"Ammoniumdikromat	'7789-09-5	'232-143-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Mycket hög akut giftighet	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter
"Natriumdikromat	'10588-01-9	'234-190-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Mycket hög akut giftighet	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter
"Natriumdikromat, dihydrat	'7789-12-0	'234-190-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Mycket hög akut giftighet	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter
"Kromyldiklorid	'14977-61-8	'239-056-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 Allergiframkallande	 Miljöfarligt, långtidseffekter			
"Kaliumkromat	'7789-00-6	'232-140-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 Allergiframkallande	 Miljöfarligt, långtidseffekter			
"Kaliumbis(zinkkromat)hydroxid	'11103-86-9	'234-329-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Zinkkromat	'13530-65-9	'236-878-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Zinkdikromat	'14018-95-2	'237-843-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Zinkkromat(VI)hydroxid	'49663-84-5	'256-418-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kalciumkromat	'13765-19-0	'237-366-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Strontiumkromat	'7789-06-2	'232-142-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Miljöfarligt, långtidseffekter					
"Krom(III)kromat	'24613-89-6	'246-356-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"trinatriumbis[7-acetamido-2-(4-nitro-2-oxidofenylazo)-3-sulfonato-1-naftolato]kromat(1-)	'	'400-810-8	Prioriterat riskminskningsämne	Mutagena (kategori 2)"						
"Tetradecylammoniumbis[1-(5-klor-2-oxidofenylazo)-2-naftolato]kromat(1-)	'88377-66-6	'405-110-6	Prioriterat riskminskningsämne	Miljöfarligt, långtidseffekter"						
"Fosforsyra, trietylester, reaktionsprodukter med kromoxid (CrO3) och kvarts	'83588-59-4	'280-503-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kromsyra	'7738-94-5	'231-801-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Tennbis(kromat)	'38455-77-5	'253-946-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kaliumzinkkromat	'41189-36-0	'255-252-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kromzinkoxid	'50922-29-7	'256-848-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Aluminiumkromat	'54991-58-1	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Mangankromat	'55392-76-2	'259-621-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Bis(tetrabutylammonium)kromat	'56660-19-6	'260-315-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"copper dihydrogen bischromate	'68406-65-5	'270-055-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Reaction product of chromium (VI) oxide and silica	'68475-49-0	'270-647-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Chromic acid, disodium salt, reaction products with [1R-[1.alpha.(R*),2.beta.,4a.beta.,8a.alpha.]]-.alpha.-ethenyldecahydro-2-hydroxy-.alpha.,2,5,5,8a-pentamethyl-1-naphthalenepropanol, hydrogenated	'68784-60-1	'272-261-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Chromic acid waste solution, polyvalent	'70969-49-2	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Phenazinium, 3-[[7-[(4-aminophenyl)amino]-5-phenylphenazinium-3-yl]amino]-5-phenyl-7-[[5-phenyl-7-(phenylamino)phenazinium-3-yl]amino]-, salt with chromic acid (H2Cr2O7) (2:3)	'75578-75-5	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Natriumdikromat	'34493-01-1	'252-062-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Silverkromat	'7784-01-2	'232-043-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Silverdikromat	'7784-02-3	'232-044-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Diammoniumkromat	'7788-98-9	'232-138-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Reaction product of silica-triethyl phosphate-chromium (VI) trioxide-aluminum secondary butoxide	'83588-58-3	'280-502-6	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Cyklohexylammoniumkromat	'20203-47-8	'243-592-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Chromic acid (H2Cr2O7), disodium salt, reaction products with diazotized 2-amino-4,6-dinitrophenol-4-hydroxy-6-[(sulfomethyl)amino]-2-naphthalenesulfonic acid monosodium salt reaction products	'90294-61-4	'290-947-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Quaternary ammonium compounds, benzyl-C12-18-alkyldimethyl, salts with chromic acid (H2Cr2O7) (2:1)	'92202-10-3	'296-042-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kaliumnatriumdikromat	'94232-45-8	'303-973-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Sulfuric acid, reaction products with D-glucose and chromic acid (H2Cr2O7) disodium salt, sodium salts	'96690-54-9	'306-249-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Phenothiazin-5-ium, 3,7-bis(dimethylamino)-, chloride, reaction products with chromic acid (H2Cr2O7)	'97660-63-4	'307-577-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Nitric acid, barium salt, reaction products with ammonia, chromic acid (H2CrO4) diammonium salt and copper(2+) dinitrate, calcined	'99328-50-4	'308-967-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Dirubidiumdikromat	'13446-73-6	'236-602-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Natriumkromattetrahydrat	'10034-82-9	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Nitric acid, copper(2+) salt, reaction products with ammonia, chromic acid (H2CrO4) diammonium salt and manganese(2+) dinitrate, kilned	'100402-65-1	'309-501-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Dijärntris(kromat)	'10294-52-7	'233-661-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Dikalium-heptadekaoxotetrazinkattetrakromat(2-)	'12433-50-0	'235-663-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kopparkromat	'12617-87-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Bariumkaliumkromat	'27133-66-0	'248-244-9	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Dirubidiumkromat	'13446-72-5	'236-601-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Ditalliumdikromat	'13453-35-5	'236-626-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Mycket hög akut giftighet	 Allergiframkallande	 Miljöfarligt, långtidseffekter			
"Dicesiumkromat	'13454-78-9	'236-640-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Koboltkromat	'13455-25-9	'236-651-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Ditalliumkromat	'13473-75-1	'236-750-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Mycket hög akut giftighet	 Allergiframkallande	 Miljöfarligt, långtidseffekter			
"Bariumdikromat	'13477-01-5	'236-761-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Cesiumdikromat	'13530-67-1	'236-879-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Pyridindikromat	'20039-37-6	'243-478-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kopparkromat	'13548-42-0	'236-922-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Koppardikromat	'13675-47-3	'237-161-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Litiumdikromat	'13843-81-7	'237-567-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Magnesiumdikromat	'14104-85-9	'237-959-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kalciumdikromat	'14307-33-6	'238-243-1	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Magnesiumkromat	'13423-61-5	'236-540-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Dilitiumkromat	'14307-35-8	'238-244-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Kadmiumkromat	'14312-00-6	'238-252-0	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Särskilt farliga metaller (Hg, Cd, Pb), Cd	 Allergiframkallande	 Miljöfarligt, långtidseffekter			
"Kromsyra, ammonium salt	'14445-91-1	'238-422-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Nickelkromat	'14721-18-7	'238-766-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Nickeldikromat	'15586-38-6	'239-646-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter	
"Bis(trifenylsilyl)kromat	'1624-02-8	'216-612-8	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Dikromsyra	'13530-68-2	'236-881-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Miljöfarligt, långtidseffekter				
"Natriumkromat	'7775-11-3	'231-889-5	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Mutagena	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Mycket hög akut giftighet	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter
"Kobolt	'7440-48-4	'231-158-0	Prioriterat riskminskningsämne	Allergiframkallande"	 Miljöfarligt, långtidseffekter					
"Koboltoxid	'1307-96-6	'215-154-6	Prioriterat riskminskningsämne	Allergiframkallande"	 Miljöfarligt, långtidseffekter					
"Koboltsulfid	'1317-42-6	'215-273-3	Prioriterat riskminskningsämne	Allergiframkallande"	 Miljöfarligt, långtidseffekter					
"Koboltdiklorid	'7646-79-9	'231-589-4	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Koboltsulfat	'10124-43-3	'233-334-2	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 CMR (kategori 1A och 1B), Reproduktionsstörande	 Allergiframkallande	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Nickeltetrakarbonyl	'13463-39-3	'236-669-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Mycket hög akut giftighet	 Miljöfarligt, långtidseffekter				
"Nickelmonoxid	'1313-99-1	'215-215-7	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
"Nickeldioxid	'12035-36-8	'234-823-3	Utfasningsämne	CMR (kategori 1A och 1B), Cancerframkallande"	 Allergiframkallande	 Hög kronisk giftighet	 Miljöfarligt, långtidseffekter			
